Sample_name	Weight
905951	1.0
909263	1.0
908462	1.0
909699	7.0
753612	1.0
753622	1.0
713885	1.0
907323	1.0
1298146	1.0
753582	1.0
753623	1.0
910545	1.0
907169	1.0
949162	1.0
688023	1.0
909770	1.0
1331034	1.0
910546	1.0
1240202	7.0
908446	1.0
905944	1.0
949093	1.0
908143	1.0
949155	1.0
1503366	1.0
906877	1.0
907298	1.0
905986	1.0
1240173	1.0
909748	1.0
909773	1.0
906812	1.0
910915	1.0
946382	1.0
909776	1.0
909779	1.0
683665	1.0
1330931	1.0
1331038	7.0
753621	7.0
909732	1.0
905949	1.0
908158	1.0
907065	1.0
907043	1.0
910903	1.0
687820	1.0
753548	1.0
1330993	1.0
906795	1.0
909709	1.0
1480364	7.0
905972	1.0
907792	1.0
906834	1.0
906813	1.0
925348	1.0
949166	1.0
687777	1.0
908451	1.0
949156	1.0
907269	1.0
908472	1.0
910920	1.0
909759	1.0
1240210	1.0
753547	1.0
910948	1.0
906851	1.0
1331032	1.0
925338	1.0
910700	1.0
1290798	1.0
925343	1.0
688027	1.0
1290724	1.0
908123	1.0
1290922	7.0
1240162	7.0
946361	1.0
687800	1.0
905979	1.0
905938	1.0
949160	1.0
909742	1.0
910905	1.0
925341	1.0
1240159	1.0
907280	1.0
687563	1.0
905933	1.0
909754	1.0
909905	1.0
906839	1.0
907318	7.0
1330991	1.0
908129	1.0
907291	1.0
753618	1.0
905946	1.0
1503363	1.0
1240184	1.0
907273	1.0
930082	1.0
1330995	1.0
906696	1.0
1331035	7.0
1503361	1.0
753592	1.0
910919	1.0
925345	1.0
949173	1.0
907000	1.0
930083	1.0
908467	7.0
907055	1.0
907061	7.0
724870	1.0
908144	1.0
946367	1.0
909725	1.0
1298216	1.0
907282	1.0
908481	1.0
910554	1.0
910937	1.0
1240212	1.0
1298151	1.0
910910	1.0
1298349	1.0
687506	1.0
1240187	1.0
724859	1.0
949175	1.0
909745	1.0
1240197	1.0
1330947	7.0
924104	1.0
908469	1.0
910921	1.0
724873	1.0
909252	7.0
906835	1.0
907067	1.0
906871	1.0
909712	1.0
907783	1.0
910568	1.0
753595	1.0
753552	1.0
1524416	1.0
909248	1.0
1240127	1.0
909731	1.0
907069	1.0
687588	1.0
753581	1.0
906836	7.0
909757	1.0
910904	1.0
1240132	1.0
1240121	1.0
1330972	1.0
910853	1.0
1330933	7.0
753620	1.0
1299078	1.0
1290722	1.0
753599	1.0
753574	1.0
753555	7.0
906828	1.0
905967	7.0
906820	1.0
907072	1.0
1298538	7.0
1290765	1.0
908470	1.0
724869	1.0
905991	1.0
1240141	1.0
1503371	1.0
908125	1.0
907272	1.0
687804	1.0
1290795	1.0
753565	1.0
1331040	7.0
1503362	1.0
1298169	1.0
908148	1.0
909904	1.0
946369	1.0
949174	1.0
1240226	1.0
971777	1.0
949165	1.0
910852	1.0
909749	1.0
753556	1.0
908460	1.0
924188	1.0
905960	1.0
906814	1.0
688013	1.0
910784	1.0
688026	1.0
905945	1.0
910906	1.0
907048	1.0
907796	1.0
905942	1.0
905989	1.0
909976	1.0
909758	7.0
907060	1.0
907173	1.0
687802	1.0
1240219	1.0
687457	1.0
910936	7.0
1479987	1.0
1299080	1.0
906693	1.0
910694	1.0
907071	1.0
687780	1.0
906869	1.0
906861	1.0
753616	1.0
1240146	7.0
908440	1.0
905940	1.0
906832	1.0
724863	1.0
905984	1.0
910692	1.0
1327766	1.0
909975	1.0
908448	1.0
1299075	1.0
906800	7.0
753569	1.0
1290806	1.0
1290730	1.0
949088	1.0
905950	7.0
908152	1.0
907175	1.0
1327775	1.0
907170	1.0
1303897	1.0
687807	1.0
910942	1.0
909701	1.0
907051	1.0
1240198	1.0
946357	1.0
753572	1.0
949168	1.0
924247	1.0
909711	1.0
724879	1.0
924107	7.0
906790	1.0
1327768	1.0
909702	1.0
753579	1.0
1660034	1.0
925346	1.0
910706	1.0
924108	1.0
907045	1.0
909747	1.0
687985	1.0
925347	1.0
906864	1.0
908121	1.0
1240143	1.0
905973	1.0
1298136	1.0
1299052	7.0
753586	1.0
905974	1.0
909723	1.0
907058	1.0
687997	1.0
1240157	1.0
908476	1.0
910911	7.0
687799	7.0
908136	1.0
908458	1.0
1298347	1.0
688086	1.0
908459	1.0
687816	1.0
910703	1.0
946355	7.0
1503364	7.0
924100	1.0
1330985	7.0
906765	1.0
910927	1.0
1298350	1.0
1303900	1.0
909780	1.0
906853	1.0
907277	7.0
722046	7.0
1240192	1.0
1240218	1.0
908139	1.0
1290808	1.0
688025	1.0
1240208	1.0
1322224	1.0
1323913	1.0
724825	1.0
910548	1.0
906999	1.0
910934	1.0
1298222	1.0
909743	1.0
909717	1.0
1327773	1.0
1303912	1.0
724834	1.0
909698	1.0
906865	1.0
924248	1.0
687561	1.0
909721	1.0
949164	1.0
906875	1.0
909753	1.0
946353	1.0
907068	1.0
1503370	1.0
910687	1.0
1240183	7.0
1503367	1.0
687590	1.0
1298537	7.0
905980	1.0
1240223	1.0
684052	1.0
1331048	1.0
908454	1.0
909708	7.0
906821	1.0
908471	1.0
1240217	1.0
907057	1.0
907313	1.0
1240154	1.0
1298539	1.0
1240190	1.0
910935	7.0
907285	1.0
753607	1.0
906804	1.0
688058	1.0
908461	1.0
909251	1.0
1240199	1.0
909707	1.0
1290807	1.0
949163	1.0
907062	7.0
909777	1.0
905964	1.0
907789	7.0
1298529	1.0
907276	1.0
907320	7.0
1298526	1.0
907281	7.0
905952	1.0
907064	1.0
687995	1.0
906847	1.0
1322218	1.0
1240201	1.0
687980	1.0
1240186	1.0
905947	1.0
1240140	7.0
753578	7.0
753594	1.0
909761	1.0
1295741	1.0
687568	1.0
1290905	1.0
911905	1.0
906793	1.0
713899	1.0
908474	1.0
910697	7.0
906856	1.0
1298365	1.0
906855	1.0
1240128	1.0
910704	1.0
907319	1.0
1240196	1.0
724838	1.0
749714	1.0
1331036	1.0
907322	7.0
907290	1.0
998189	1.0
910916	7.0
910933	1.0
687586	1.0
909736	1.0
724868	1.0
1298134	1.0
753588	1.0
924102	1.0
946373	7.0
924244	1.0
753575	7.0
1240123	7.0
687514	1.0
909735	1.0
908159	1.0
909784	1.0
908132	1.0
1240221	1.0
910900	1.0
910549	1.0
907044	1.0
905983	1.0
907172	1.0
910932	1.0
906827	1.0
924111	7.0
906830	1.0
1299062	1.0
906797	1.0
1240160	1.0
906817	1.0
910698	1.0
905934	1.0
910780	1.0
906843	1.0
1290908	1.0
949090	1.0
909262	1.0
1322212	1.0
906872	1.0
753573	7.0
753608	7.0
909256	1.0
909253	1.0
909974	7.0
905990	1.0
684055	1.0
910695	7.0
1240172	1.0
905968	7.0
910710	1.0
1290814	1.0
907279	1.0
949167	1.0
753577	7.0
687798	7.0
1331045	1.0
1240155	1.0
753531	7.0
908443	1.0
925339	1.0
906805	7.0
753576	1.0
907286	1.0
907270	1.0
906848	1.0
1240131	1.0
946359	1.0
687819	1.0
998184	1.0
905962	1.0
1240185	1.0
1298476	1.0
688001	1.0
1479988	1.0
909715	1.0
1297447	1.0
753532	1.0
909746	1.0
905955	1.0
946360	1.0
909738	1.0
907278	1.0
906837	7.0
907066	1.0
949179	1.0
909769	1.0
1295740	7.0
909729	1.0
1240122	1.0
1298358	1.0
724872	1.0
687505	1.0
909697	1.0
1240145	1.0
753554	1.0
1298359	7.0
1240124	1.0
1240189	1.0
753585	7.0
971773	1.0
1330987	1.0
906824	1.0
907311	7.0
908455	7.0
910079	1.0
909194	1.0
946368	1.0
1330942	1.0
1240181	7.0
688087	1.0
905937	1.0
1299064	7.0
1290797	1.0
909744	7.0
907300	1.0
910691	1.0
1240169	1.0
1290455	1.0
753615	1.0
909255	1.0
908449	7.0
909250	1.0
910926	1.0
949171	1.0
907312	1.0
908128	1.0
924105	7.0
910689	1.0
905961	1.0
910943	1.0
907056	1.0
905976	1.0
1240200	7.0
1327769	1.0
905982	1.0
1299059	1.0
910907	1.0
906746	1.0
1240149	1.0
753564	1.0
907050	1.0
908445	1.0
907274	1.0
924110	7.0
1480362	1.0
735784	1.0
687812	1.0
909977	1.0
1240158	1.0
1330935	1.0
683667	1.0
910951	1.0
1298141	1.0
753596	1.0
749710	1.0
684072	1.0
749712	1.0
910941	1.0
713880	1.0
1240222	1.0
907317	7.0
1290809	1.0
908142	1.0
753566	1.0
907047	7.0
909750	1.0
910566	1.0
906826	1.0
949094	1.0
949172	1.0
910569	1.0
1298223	7.0
909719	1.0
909704	1.0
1331033	1.0
