Sample_name	Weight
998189	1.0
1330950	1.0
949158	1.0
909711	1.0
909781	1.0
687807	1.0
1298169	1.0
908129	1.0
909704	1.0
1240200	1.0
1299052	1.0
687586	1.0
1331048	1.0
909709	1.0
749710	1.0
1287706	1.0
1298141	1.0
1240174	1.0
949161	1.0
908448	1.0
905952	1.0
1298226	1.0
909712	1.0
907796	1.0
1240201	1.0
906844	1.0
908132	1.0
753583	1.0
907789	1.0
1240189	1.0
1524419	1.0
906797	1.0
724859	1.0
905946	1.0
906846	1.0
1659818	1.0
688031	1.0
1240193	1.0
1290908	1.0
906820	1.0
905980	1.0
909703	1.0
1298145	1.0
905938	1.0
906828	1.0
909975	1.0
910399	1.0
753618	1.0
1240149	1.0
1298537	1.0
908452	1.0
924106	1.0
1331049	1.0
1240150	1.0
907068	1.0
907291	1.0
753586	1.0
1240197	1.0
688086	1.0
687568	1.0
907269	1.0
1480374	1.0
717431	1.0
1240125	1.0
1240146	77.66666666666667
906807	1.0
906868	1.0
1290808	1.0
908470	1.0
1480364	1.0
753559	1.0
909723	1.0
949155	1.0
1240145	1.0
687590	1.0
684062	1.0
910925	1.0
687563	1.0
907277	1.0
924100	1.0
724831	1.0
1290922	1.0
909729	1.0
1479995	1.0
910688	1.0
687506	1.0
949153	1.0
687457	1.0
909724	1.0
753589	1.0
1327774	1.0
1298347	1.0
905959	1.0
907055	1.0
753604	77.66666666666667
1240178	1.0
688025	1.0
909773	1.0
906824	1.0
1298168	1.0
1331035	1.0
949172	1.0
909756	1.0
687815	1.0
688001	1.0
908455	1.0
1331036	1.0
908150	1.0
753585	1.0
908445	1.0
908443	1.0
908463	1.0
905948	1.0
949168	1.0
688027	1.0
946361	1.0
907323	1.0
908469	1.0
907047	1.0
907171	1.0
907272	1.0
907786	1.0
1290455	1.0
908454	1.0
909260	1.0
907071	1.0
907274	1.0
925341	1.0
909717	1.0
687588	1.0
949094	1.0
1524418	1.0
1480362	1.0
906847	1.0
1503366	1.0
1240127	1.0
905968	1.0
910694	1.0
906831	1.0
683665	1.0
1295740	1.0
910922	1.0
1327766	1.0
1327773	1.0
910702	1.0
949177	1.0
1331033	1.0
1240221	1.0
753552	1.0
907313	1.0
905967	1.0
1303912	1.0
1299081	1.0
909784	1.0
905971	1.0
1298136	1.0
911905	1.0
753621	1.0
749717	1.0
753578	77.66666666666667
1240160	1.0
1240184	1.0
908475	1.0
684055	1.0
1290765	1.0
1287381	1.0
1290768	1.0
908146	1.0
1298362	1.0
910904	1.0
907783	1.0
1327765	1.0
909750	1.0
908128	1.0
1299062	1.0
906826	1.0
687799	1.0
907000	1.0
910952	1.0
724812	1.0
1240187	1.0
909757	1.0
908476	1.0
907173	1.0
909699	1.0
909250	1.0
905936	1.0
1299061	1.0
910951	1.0
687820	1.0
905960	1.0
909907	1.0
946355	1.0
1240129	1.0
909904	1.0
753562	1.0
906864	1.0
908462	1.0
1240141	1.0
1240183	1.0
724868	1.0
1298156	77.66666666666667
946368	1.0
753539	1.0
1290813	1.0
687819	1.0
910692	1.0
908131	1.0
1240169	1.0
924151	1.0
909698	1.0
910698	1.0
906841	1.0
1298146	1.0
924250	1.0
1674021	1.0
917486	1.0
1240154	1.0
905986	1.0
749712	1.0
906851	1.0
687514	1.0
1240124	1.0
946369	1.0
687995	1.0
908151	1.0
905976	1.0
688006	1.0
687802	1.0
910942	1.0
949179	1.0
724872	1.0
907282	1.0
1479988	1.0
724879	1.0
905942	1.0
1240182	1.0
910079	1.0
906861	1.0
1299070	1.0
906855	1.0
906848	1.0
1660035	1.0
753538	1.0
910545	1.0
1524416	1.0
1240168	1.0
753608	77.66666666666667
753582	1.0
924108	1.0
909977	1.0
908147	1.0
949167	1.0
908126	1.0
1331034	1.0
1330984	1.0
924102	1.0
1240219	1.0
1503369	77.66666666666667
688026	1.0
910903	1.0
906813	1.0
1509074	1.0
713885	1.0
906869	1.0
753594	1.0
908149	1.0
909706	1.0
1331038	1.0
910861	1.0
910554	1.0
907314	1.0
905963	1.0
910924	1.0
908127	1.0
1298160	1.0
924110	1.0
687829	1.0
907278	1.0
905945	1.0
910911	1.0
1240190	1.0
908473	1.0
1298475	1.0
906795	1.0
688058	1.0
1240198	1.0
910548	1.0
906856	1.0
910930	1.0
906763	1.0
909708	1.0
687596	1.0
946360	1.0
909761	1.0
908451	1.0
907059	1.0
1330947	1.0
906870	1.0
1240123	1.0
910401	1.0
1240222	1.0
909740	1.0
909738	1.0
909736	1.0
906696	1.0
909264	1.0
908135	1.0
908125	1.0
909721	1.0
905983	1.0
924188	1.0
688014	1.0
907280	1.0
753563	1.0
724838	1.0
925347	1.0
1331037	1.0
1659819	1.0
907051	1.0
722058	1.0
910689	1.0
910941	1.0
1479987	1.0
1290797	1.0
1240207	1.0
1240191	1.0
949166	1.0
1290806	1.0
910566	1.0
907300	1.0
908156	1.0
753624	1.0
1240131	1.0
910916	1.0
906830	1.0
907287	1.0
910701	1.0
1298349	1.0
907318	1.0
905955	1.0
1247871	1.0
909753	1.0
905982	1.0
684072	1.0
910910	1.0
1330948	1.0
906765	1.0
905977	1.0
910546	1.0
906827	1.0
946359	1.0
1299080	1.0
1240122	1.0
909785	1.0
946358	1.0
907286	1.0
1240217	1.0
907285	1.0
905933	1.0
909759	1.0
949163	1.0
910852	1.0
907069	1.0
688023	1.0
907061	1.0
753584	1.0
749709	1.0
908483	1.0
906818	1.0
1290812	1.0
1240223	1.0
908130	1.0
684059	1.0
924238	1.0
908142	1.0
687804	1.0
905965	1.0
1290807	1.0
1330964	1.0
910568	1.0
905981	1.0
907058	1.0
949157	1.0
1240153	1.0
908143	1.0
1298356	1.0
949090	1.0
1240210	1.0
909697	1.0
905950	1.0
1303900	1.0
1330982	1.0
907322	1.0
753574	1.0
1297446	1.0
753620	1.0
909735	1.0
907799	1.0
905951	1.0
906853	1.0
1240186	1.0
909257	1.0
1503368	1.0
908138	1.0
1240218	1.0
687561	1.0
753564	1.0
1503362	1.0
909720	1.0
907050	1.0
910935	1.0
905984	1.0
1298219	1.0
906837	1.0
924187	1.0
1298353	1.0
946357	1.0
924107	1.0
907295	1.0
906812	1.0
910569	1.0
909725	1.0
909716	1.0
688121	1.0
1240215	1.0
910933	1.0
687980	1.0
910697	1.0
909263	1.0
905990	1.0
908158	1.0
1240212	1.0
1503371	1.0
1524415	77.66666666666667
905989	1.0
930297	1.0
907064	1.0
909771	1.0
1480361	1.0
906872	1.0
909754	1.0
909751	1.0
905934	1.0
906693	1.0
1524414	1.0
910943	1.0
949164	1.0
905940	1.0
908447	1.0
909256	1.0
907048	1.0
908471	1.0
1330973	1.0
905985	1.0
724825	1.0
906832	1.0
910549	1.0
907276	1.0
909770	1.0
910907	1.0
907279	1.0
949156	1.0
1330933	1.0
1240134	1.0
909905	1.0
1480359	1.0
753555	1.0
971777	1.0
908124	1.0
910927	1.0
724863	1.0
1290814	1.0
905973	1.0
753566	1.0
753545	1.0
909713	1.0
924239	1.0
688007	1.0
1330991	1.0
687459	1.0
1240157	1.0
908468	1.0
906804	1.0
905979	1.0
930082	1.0
1298476	1.0
909251	1.0
910687	1.0
909758	1.0
949165	1.0
949178	1.0
1240226	1.0
910934	1.0
753561	1.0
910703	1.0
908123	1.0
1298359	1.0
908122	1.0
1298357	1.0
906834	1.0
908472	1.0
1298526	1.0
1330931	1.0
908159	1.0
906800	1.0
753572	1.0
753556	1.0
908148	1.0
906821	1.0
924104	1.0
1298348	1.0
687985	1.0
905975	1.0
907169	1.0
908152	1.0
1240205	1.0
905939	1.0
909249	1.0
713869	1.0
908467	1.0
907312	1.0
687777	1.0
909718	1.0
1240158	1.0
1503363	1.0
1298529	1.0
908136	1.0
908459	1.0
909252	1.0
910209	1.0
1240181	1.0
905957	1.0
907790	1.0
1330995	1.0
909755	1.0
907175	1.0
1295741	1.0
1240196	1.0
905972	1.0
1331025	1.0
753612	1.0
1299075	1.0
910906	1.0
688010	1.0
909255	1.0
1240192	1.0
910849	1.0
722045	1.0
1327768	1.0
910704	1.0
1290730	1.0
907311	1.0
753588	1.0
753616	1.0
1299078	1.0
724878	1.0
1503365	1.0
687787	1.0
909777	1.0
1240151	1.0
907270	1.0
907044	1.0
910915	1.0
1240204	1.0
906863	1.0
906817	1.0
949088	1.0
753535	1.0
1240162	1.0
907045	1.0
753622	1.0
907281	1.0
909746	1.0
1240167	1.0
905944	1.0
753554	1.0
1240209	1.0
1297447	1.0
1290769	1.0
1322224	1.0
906838	1.0
1290724	1.0
906746	1.0
1303896	1.0
906814	1.0
946382	1.0
1330935	1.0
1240185	1.0
1299064	1.0
