Sample_name	Weight
1298145	1.0
687506	1.0
946373	1.0
908148	1.0
971777	1.0
907270	1.0
908158	1.0
1299075	1.0
907058	1.0
687985	1.0
749711	1.0
688023	1.0
1298151	1.0
753538	1.0
1299062	1.0
1503367	1.0
908467	1.0
1287706	1.0
1290922	1.0
1290765	1.0
1298219	1.0
1240179	1.0
1503366	1.0
688027	1.0
907286	1.0
713885	1.0
906805	1.0
910698	1.0
688025	1.0
909697	1.0
753561	1.0
1240158	1.0
1290814	1.0
910916	1.0
687980	1.0
687815	1.0
1240135	1.0
906854	1.0
1303900	1.0
909778	1.0
753575	1.0
905969	1.0
909257	1.0
908472	1.0
908122	1.0
749714	1.0
1331032	1.0
907065	1.0
688011	1.0
908448	1.0
713869	1.0
949174	1.0
908143	1.0
1503365	1.0
1240155	1.0
1524416	1.0
909780	1.0
907062	1.0
946377	1.0
909720	1.0
910943	1.0
907170	1.0
1240160	1.0
749710	1.0
753558	1.0
905980	1.0
1240123	1.0
949161	1.0
925343	1.0
1327775	1.0
1240226	1.0
687514	1.0
946368	1.0
907044	1.0
687780	1.0
1509073	1.0
1480364	1.0
724874	1.0
909759	1.0
910933	1.0
924102	1.0
949088	1.0
753589	1.0
1240198	1.0
1240205	1.0
1240221	1.0
717431	1.0
909737	1.0
905962	1.0
1240215	1.0
906791	1.0
688026	1.0
1240150	1.0
753607	1.0
910209	1.0
910546	1.0
910784	1.0
1290767	1.0
910935	1.0
906843	1.0
1330984	1.0
1240140	1.0
687997	1.0
753612	1.0
907272	1.0
910853	1.0
1298222	1.0
1287381	1.0
688031	1.0
946372	1.0
949155	1.0
1298160	1.0
1330941	1.0
753549	1.0
907323	1.0
753605	1.0
905945	1.0
906817	1.0
905933	1.0
907298	1.0
906862	1.0
906765	1.0
1322224	1.0
908449	1.0
1240142	1.0
908144	1.0
1298534	1.0
1659928	1.0
906831	1.0
1330972	1.0
1290809	1.0
908138	1.0
909745	1.0
908129	1.0
909708	1.0
749709	1.0
1290730	1.0
909785	1.0
910704	1.0
1240146	124.33333333333333
907795	1.0
684062	1.0
1330993	1.0
909722	1.0
910399	1.0
908128	1.0
908135	1.0
910919	1.0
907047	1.0
1298146	1.0
909744	1.0
909260	1.0
910906	1.0
906861	1.0
753624	1.0
1240122	1.0
907318	1.0
1240192	1.0
753555	1.0
949178	1.0
906763	1.0
906804	1.0
907290	1.0
907000	1.0
1298529	1.0
1298352	1.0
753547	1.0
1331033	1.0
908151	1.0
909747	1.0
908124	1.0
909699	1.0
1659818	1.0
909904	1.0
722046	1.0
1331049	1.0
687804	1.0
971773	1.0
925341	1.0
1503370	1.0
949164	1.0
713880	1.0
906851	1.0
907042	1.0
724859	1.0
908468	1.0
683665	1.0
753551	1.0
1298358	1.0
1298350	1.0
905974	1.0
687819	1.0
907275	1.0
753599	1.0
909249	1.0
908450	1.0
909251	1.0
687459	1.0
910932	1.0
910947	1.0
908475	1.0
1524418	1.0
687452	1.0
907073	1.0
1330994	1.0
753622	1.0
910922	1.0
925345	1.0
909743	1.0
687798	1.0
1503364	124.33333333333333
905956	1.0
724879	1.0
907794	1.0
905959	1.0
909709	1.0
910924	1.0
908149	1.0
1330995	1.0
753581	1.0
910927	1.0
906797	1.0
687568	1.0
1298356	1.0
909717	1.0
908126	1.0
909756	1.0
724839	1.0
753616	1.0
910920	1.0
753588	1.0
906807	1.0
753577	1.0
1240159	1.0
909724	1.0
906872	1.0
1331045	1.0
1240169	1.0
688006	1.0
906814	1.0
687586	1.0
684057	1.0
910703	1.0
910705	1.0
910568	1.0
910688	1.0
905952	1.0
905948	1.0
907271	1.0
905967	1.0
1298141	1.0
1290813	1.0
1240193	1.0
753532	1.0
949175	1.0
906844	1.0
909784	1.0
908446	1.0
1290798	1.0
907176	1.0
910079	1.0
907787	1.0
924151	1.0
906821	1.0
1503368	1.0
906823	1.0
910951	1.0
910905	1.0
753556	1.0
1240173	1.0
1299059	1.0
910911	1.0
909731	1.0
906833	1.0
724838	1.0
724869	1.0
907069	1.0
908444	1.0
1290806	1.0
907045	1.0
753574	1.0
688121	1.0
753584	1.0
949153	1.0
905977	1.0
907269	1.0
687799	1.0
1303897	1.0
905991	1.0
1298216	1.0
1240207	1.0
910904	1.0
909749	1.0
909706	1.0
1240124	1.0
724868	1.0
1330935	1.0
908452	1.0
924105	1.0
1297447	1.0
1240132	1.0
905963	1.0
925347	1.0
687816	1.0
910899	1.0
1298349	1.0
1674021	1.0
1240166	1.0
907175	1.0
946357	1.0
753594	1.0
905982	1.0
1290724	1.0
687596	1.0
905973	1.0
753618	1.0
